run_id,phase,task,morphology,controller,training_seed,config_path,resolved_config_digest,output_dir,status,completed_generations,best_fitness,started_from_checkpoint
carrier__biped__nchl__seed_000,final,Carrier-v0,biped,nchl,0,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_000/config.yaml,4a3d60bfbae110cc2ae817b182f8e6175b8b040eb98b466606818ece568fa0db,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_000,complete,500,2.22128270641916,False
carrier__biped__nchl__seed_001,final,Carrier-v0,biped,nchl,1,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_001/config.yaml,fc165def04eedc1fd39ccf612741552d9574a5a8228c644a7661cafd62ea43f0,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_001,complete,500,2.303115090399475,False
carrier__biped__nchl__seed_002,final,Carrier-v0,biped,nchl,2,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_002/config.yaml,c46b349c32b84b18b55b1db6867a934cedf5926fbed8b7b83ac07cb27e38fbc6,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_002,complete,500,2.3832665964527067,False
carrier__biped__nchl__seed_003,final,Carrier-v0,biped,nchl,3,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_003/config.yaml,dd90ace3a112904155ff3289426075ff7c4eea3913621e63d1815172815cf404,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_003,complete,500,1.4887302738121093,False
carrier__biped__nchl__seed_004,final,Carrier-v0,biped,nchl,4,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_004/config.yaml,02a112f7f3c173167135d33f72892b6d09a8a7130df309d7adfad5707dc12442,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_004,complete,500,1.9048693115879367,False
carrier__biped__nchl__seed_005,final,Carrier-v0,biped,nchl,5,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_005/config.yaml,59576d974c40b5d6b64196be05d1cbb1da4280930f2f42a519aee7be5e9074e3,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_005,complete,500,1.3699061665591517,False
carrier__biped__nchl__seed_006,final,Carrier-v0,biped,nchl,6,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_006/config.yaml,5c7ed5b35412f661a01011a05217ec60a319583f52660088f2aa311eaa0ccaa4,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_006,complete,500,1.704040783770446,False
carrier__biped__nchl__seed_007,final,Carrier-v0,biped,nchl,7,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_007/config.yaml,3ed6918f77319552df9435be1863d69c413ca688a3729a33fe31775171199a4e,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_007,complete,500,1.2795552293219137,False
carrier__biped__nchl__seed_008,final,Carrier-v0,biped,nchl,8,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_008/config.yaml,ad265df0c69f27ccea7fb58a3c9ec91b1fa68e9775fc9f92d27b0e8694f4d3d8,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_008,complete,500,2.0062916200404204,False
carrier__biped__nchl__seed_009,final,Carrier-v0,biped,nchl,9,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_009/config.yaml,c1aac2e2d985f35c2aed40f3b6e71308304409cd7f9dbaf26bc19dc41617ecbf,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/carrier/biped/nchl/seed_009,complete,500,1.5845173913200397,False
jumper__biped__static__seed_000,final,Jumper-v0,biped,static,0,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_000/config.yaml,2ea7f4d6430209eea15ca2d735cc2a545f240d7d69db5fe0ce0e89cfe0306769,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_000,complete,500,0.2556993067467833,False
jumper__biped__static__seed_001,final,Jumper-v0,biped,static,1,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_001/config.yaml,7991e3de365329ae877fc9cdd8e73a524f0e712cc76a81c558333b671d837a02,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_001,complete,500,0.2520646462500753,False
jumper__biped__static__seed_002,final,Jumper-v0,biped,static,2,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_002/config.yaml,34c102789e3b93aa2cee80a754a7d11a954626a953e5f66fa4bec8513b19d5de,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_002,complete,500,0.25700832328505896,False
jumper__biped__static__seed_003,final,Jumper-v0,biped,static,3,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_003/config.yaml,db455981d4b74b4bd51aec3f36a880cfffab1a13397dbde40afbb06363271fae,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_003,complete,500,0.23724927933973905,False
jumper__biped__static__seed_004,final,Jumper-v0,biped,static,4,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_004/config.yaml,5aff64f671cfe2dfdadd64d38bca80967df7026c419b68df30d01b204d0541d9,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_004,complete,500,0.24465312966855224,False
