run_id,task,morphology,training_seed,snapshot,snapshot_fraction,n_analysis_traces,mean_frozen_fitness,median_frozen_fitness,sd_frozen_fitness,min_frozen_fitness,max_frozen_fitness
thrower__biped__nchl__seed_001,Thrower-v0,biped,1,Wfinal,1.0,3,0.4482268475231896,0.4491052585524037,0.003397817297623943,0.44447607773533504,0.45109920628182987
thrower__biped__nchl__seed_002,Thrower-v0,biped,2,W0,0.0,3,0.3504450974917859,0.3597317041569865,0.0691714620444117,0.27709946258415175,0.4145041257342192
thrower__biped__nchl__seed_002,Thrower-v0,biped,2,W25,0.25,3,0.35631339333246936,0.3811283967328054,0.4499001842185184,-0.1054807319609447,0.7932925152255473
thrower__biped__nchl__seed_002,Thrower-v0,biped,2,W50,0.5,3,0.4568815678961106,0.45053418692074326,0.3579689632595787,0.10212850369339287,0.8179820130741957
thrower__biped__nchl__seed_002,Thrower-v0,biped,2,W75,0.75,3,0.3803732248641111,0.3720184380407443,0.02976948962674524,0.35567379945015226,0.4134274371014367
thrower__biped__nchl__seed_002,Thrower-v0,biped,2,Wfinal,1.0,3,0.2830478764767356,0.3111215495072243,0.14271364263767675,0.12838356946995672,0.40963851045302574
thrower__biped__nchl__seed_003,Thrower-v0,biped,3,W0,0.0,3,0.4011581279856164,0.4113529540703729,0.030813096609479475,0.3665396027776829,0.4255818271087933
thrower__biped__nchl__seed_003,Thrower-v0,biped,3,W25,0.25,3,0.33817009093163425,0.33817009093163425,0.0,0.33817009093163425,0.33817009093163425
thrower__biped__nchl__seed_003,Thrower-v0,biped,3,W50,0.5,3,0.41914258243379154,0.4187809349585089,0.008226090121880004,0.4111032804411896,0.4275435319016762
thrower__biped__nchl__seed_003,Thrower-v0,biped,3,W75,0.75,3,0.863101150581918,0.8516330215002407,0.02127795370606436,0.8500173293371031,0.8876531009084104
thrower__biped__nchl__seed_003,Thrower-v0,biped,3,Wfinal,1.0,3,0.8924231259684047,0.8926170741516792,0.0009122684846023784,0.8914294792137225,0.8932228245398124
thrower__biped__nchl__seed_004,Thrower-v0,biped,4,W0,0.0,3,0.2798942759596394,0.27809825398536975,0.006041668965989996,0.27495426564709036,0.286630308246458
thrower__biped__nchl__seed_004,Thrower-v0,biped,4,W25,0.25,3,0.3382782578952039,0.3351038823109777,0.01252295002467184,0.32764796713983707,0.35208292423479676
thrower__biped__nchl__seed_004,Thrower-v0,biped,4,W50,0.5,3,0.35415571933657747,0.34022274996532725,0.07391317480858257,0.2882005907401383,0.43404381730426694
thrower__biped__nchl__seed_004,Thrower-v0,biped,4,W75,0.75,3,0.3616773369387886,0.3593422596533176,0.004872828117665664,0.3584114779659846,0.3672782731970636
thrower__biped__nchl__seed_004,Thrower-v0,biped,4,Wfinal,1.0,3,0.3096729807311757,0.2979137189858584,0.03819680666820283,0.27873840426411434,0.35236681894355454
thrower__biped__nchl__seed_005,Thrower-v0,biped,5,W0,0.0,3,0.36314829093026524,0.3872433740992836,0.07123038062581777,0.2829954092511097,0.4192060894404024
thrower__biped__nchl__seed_005,Thrower-v0,biped,5,W25,0.25,3,0.2055450155286002,0.3343618102976597,0.26584508283565916,-0.1001687549974491,0.38244199128559
thrower__biped__nchl__seed_005,Thrower-v0,biped,5,W50,0.5,3,0.27237815308269814,0.22074433960980586,0.09017028124068513,0.2198934532027461,0.3764966664355425
thrower__biped__nchl__seed_005,Thrower-v0,biped,5,W75,0.75,3,0.5214527778697647,0.3778730917215764,0.259655682673486,0.3652958533887457,0.8211893884989723
thrower__biped__nchl__seed_005,Thrower-v0,biped,5,Wfinal,1.0,3,0.5376545964545495,0.43174764239379226,0.24257125724550566,0.36604493614301087,0.8151712108268453
thrower__biped__nchl__seed_006,Thrower-v0,biped,6,W0,0.0,3,0.3222216377275104,0.2940198584471687,0.0514614945344908,0.29102594743287163,0.3816191073024908
thrower__biped__nchl__seed_006,Thrower-v0,biped,6,W25,0.25,3,0.3234429381773147,0.3179158391839243,0.012539139393440972,0.31461690617742033,0.3377960691705994
thrower__biped__nchl__seed_006,Thrower-v0,biped,6,W50,0.5,3,-0.13919360727345073,-0.02816321785115336,0.6076222436472706,-0.7946746180470587,0.40525701407785997
thrower__biped__nchl__seed_006,Thrower-v0,biped,6,W75,0.75,3,-0.052638645048827794,-0.22958802871723072,0.77285872093266,-0.7216778403719487,0.793349933942696
thrower__biped__nchl__seed_006,Thrower-v0,biped,6,Wfinal,1.0,3,0.20392165676209292,0.25715525066347394,0.5768638636020836,-0.3977138837876045,0.7523236034104093
thrower__biped__nchl__seed_007,Thrower-v0,biped,7,W0,0.0,3,0.3445449873232233,0.36775454919045525,0.05230369422072187,0.28465290363222473,0.3812275091469898
