run_id,source_run,config_digest,genome_sha256,training_seed,task,morphology,analysis_index,source_environment_seed,source_controller_seed,snapshot,snapshot_fraction,snapshot_state,frozen_fitness,episode_length,terminated,truncated,source_plastic_fitness,trace_path
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,1,3184075494390970209,9147161066225580108,W25,0.25,125,-1.4808825756080946,500,False,True,4.654410397068357,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis01.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,1,3184075494390970209,9147161066225580108,W50,0.5,250,-1.0878040115914986,500,False,True,4.654410397068357,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis01.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,1,3184075494390970209,9147161066225580108,W75,0.75,375,-1.4186969349529144,500,False,True,4.654410397068357,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis01.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,1,3184075494390970209,9147161066225580108,Wfinal,1.0,500,-1.3462948387859637,500,False,True,4.654410397068357,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis01.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,2,6337936886056088,9019669384804417704,W0,0.0,0,0.02029390311674034,500,False,True,4.374355278903208,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis02.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,2,6337936886056088,9019669384804417704,W25,0.25,125,-1.0450440779929702,500,False,True,4.374355278903208,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis02.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,2,6337936886056088,9019669384804417704,W50,0.5,250,-1.1164380525813637,500,False,True,4.374355278903208,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis02.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,2,6337936886056088,9019669384804417704,W75,0.75,375,-0.8082264344344856,500,False,True,4.374355278903208,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis02.npz
walker__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_001,f9c3dae9eeb3f7ac5b8ce4b6b913d3366424db3aaddddccde1131516ab0d9cad,a572e58d8e87bd245914da3a46e61bd70f8601e6cc66c55a1bf69c085a3024a4,1,Walker-v0,biped,2,6337936886056088,9019669384804417704,Wfinal,1.0,500,-1.4463296122918363,500,False,True,4.374355278903208,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train001_analysis02.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,0,4709125304908105630,1244304497912131803,W0,0.0,0,-0.023437957652338914,500,False,True,5.855291194119783,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis00.npz
