run_id,source_run,config_digest,task,morphology,controller,training_seed,n_heldout_episodes,mean_fitness,median_fitness,std_fitness,min_fitness,max_fitness
jumper__biped__nchl__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_008,17aece822f94a514674ab91416f8706dc0a999faff4bdf31d2335a917c51b138,Jumper-v0,biped,nchl,8,10,-0.07750289415452388,0.14806650457892534,0.4499142860159306,-1.1870228835749823,0.3767100392188494
jumper__biped__nchl__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_009,dd6493e763e8b52272d6e23ac84bf3442efdf77ecb9f951091eff2a2060df0a2,Jumper-v0,biped,nchl,9,10,-0.2657957373093634,-0.13372303540060998,1.212906537072391,-2.1618051825209967,1.055138465742892
jumper__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_000,2ea7f4d6430209eea15ca2d735cc2a545f240d7d69db5fe0ce0e89cfe0306769,Jumper-v0,biped,static,0,10,0.2556993067467833,0.2556993067467833,0.0,0.2556993067467833,0.2556993067467833
jumper__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_001,7991e3de365329ae877fc9cdd8e73a524f0e712cc76a81c558333b671d837a02,Jumper-v0,biped,static,1,10,0.25206464625007535,0.2520646462500753,5.551115123125783e-17,0.2520646462500753,0.2520646462500753
jumper__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_002,34c102789e3b93aa2cee80a754a7d11a954626a953e5f66fa4bec8513b19d5de,Jumper-v0,biped,static,2,10,0.25700832328505896,0.25700832328505896,0.0,0.25700832328505896,0.25700832328505896
jumper__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_003,db455981d4b74b4bd51aec3f36a880cfffab1a13397dbde40afbb06363271fae,Jumper-v0,biped,static,3,10,0.23724927933973908,0.23724927933973905,2.7755575615628914e-17,0.23724927933973905,0.23724927933973905
jumper__biped__static__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_004,5aff64f671cfe2dfdadd64d38bca80967df7026c419b68df30d01b204d0541d9,Jumper-v0,biped,static,4,10,0.24465312966855227,0.24465312966855224,2.7755575615628914e-17,0.24465312966855224,0.24465312966855224
jumper__biped__static__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_005,fe7da90b51997cb80cd640a745f5d8b9c8c3f74d53079b2374d144ec903eb8a1,Jumper-v0,biped,static,5,10,0.25472526669536755,0.25472526669536755,0.0,0.25472526669536755,0.25472526669536755
jumper__biped__static__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_006,908d5e0947b1e06cc4b56a682b99aa149e7dcfbad3d699e3c844151a7b9e0fc8,Jumper-v0,biped,static,6,10,0.2594361993438027,0.2594361993438027,0.0,0.2594361993438027,0.2594361993438027
jumper__biped__static__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_007,704e9cab57822d8db97108fceb2bc5ea665c40eb040480779910087ab1071f08,Jumper-v0,biped,static,7,10,0.22645150628257565,0.2264515062825756,5.551115123125783e-17,0.2264515062825756,0.2264515062825756
jumper__biped__static__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_008,4d3d3c98b1f56896bd067218a95e7297ef5c50d1653b0b5c8defe61ed350cc3a,Jumper-v0,biped,static,8,10,0.3278770272319792,0.3278770272319792,0.0,0.3278770272319792,0.3278770272319792
jumper__biped__static__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_009,26dc2708932098cfdc86320ad3008f1281a757efda869ffc3b96162a2064b435,Jumper-v0,biped,static,9,10,0.2591625094633477,0.2591625094633476,5.551115123125783e-17,0.2591625094633476,0.2591625094633476
thrower__biped__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_000,85f126dee04b2643fd0a4d9b2ef470847203371bbbe8b42ed6421f202795e987,Thrower-v0,biped,nchl,0,10,1.3085319113806069,1.5345898051241502,0.45913945611658724,0.07407144586219025,1.694851595711868
thrower__biped__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_001,61c08966474b56dd6b98017a698cbb37b8b727f4a69ae24d377b42e027741555,Thrower-v0,biped,nchl,1,10,1.5714858900529145,1.6975164402809628,0.21653179864395947,1.2155750960933935,1.7586981152457415
thrower__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_002,d80ec06808ec47fdf5b72777017b12eafdb3c945892b323b16599af5b95527ee,Thrower-v0,biped,nchl,2,10,1.2054088478611564,1.2294161107867754,0.25003035064235446,0.783626053617992,1.7562725978335068
thrower__biped__nchl__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_003,57ac6a2fa248a33477e504320336e3b55e66ca312ca9c8c0f68fcf09dad7fbae,Thrower-v0,biped,nchl,3,10,1.1302210336352763,1.2740294262199132,0.3959517054564221,-0.054403555549809614,1.2886727688924986
thrower__biped__nchl__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_004,49d045e37cb26992b0baf20938b565e78c5cd47cb678ec5007a6d626bd4b858f,Thrower-v0,biped,nchl,4,10,0.9821566062197402,1.1931261582337704,0.4168859490045341,0.3678312113652049,1.6376430662117036
thrower__biped__nchl__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_005,55f9470589187f844cbca3c99c1228d620e3cd3b9f48f2d30134c47f9a10f22c,Thrower-v0,biped,nchl,5,10,1.2763736424216956,1.2455511139696522,0.1350569583543154,1.1738289808579276,1.6659524286468133
thrower__biped__nchl__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_006,fc393af65600376e2f98ff47e06159dc842b6adfc5910101c29da53f1f9725b5,Thrower-v0,biped,nchl,6,10,1.2454866490165757,1.1511335962777391,0.21054700523971803,1.0772168096533916,1.7274984425785995
thrower__biped__nchl__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_007,16cbc6c4b3eb41025ec2c1e0622e099ad6e12a8dab950cbb6e0e239ec33c78e2,Thrower-v0,biped,nchl,7,10,1.1838930439887225,1.2011959338644456,0.27508765976611166,0.8039204724891981,1.6667473648414015
thrower__biped__nchl__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_008,89479f2c5e55b30dfa240041e89c07044bd88e4c380d9b52a4635807282e3882,Thrower-v0,biped,nchl,8,10,1.1899807388086387,1.1665820495593495,0.06969478801529208,1.0510434053297908,1.2859284956560697
thrower__biped__nchl__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/nchl/seed_009,98722ce097a22114dfda873eacbddad1a417b8e2e5716ed9a13401116eaf3ce4,Thrower-v0,biped,nchl,9,10,1.0518247277159651,1.1941410185868269,0.4597695805987643,-0.3240451776102007,1.2839086727271989
thrower__biped__static__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_000,c4b3747d237c45a7d3e671d2ab7b7a2e372a2f091fdccc436c793832a53e428f,Thrower-v0,biped,static,0,10,1.7940387330517056,1.7940387330517054,2.220446049250313e-16,1.7940387330517054,1.7940387330517054
thrower__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_001,56d325f4247b166a1111cce9b3cb6388bd6985374535603edb434169283f1030,Thrower-v0,biped,static,1,10,1.8012129784679973,1.8012129784679973,0.0,1.8012129784679973,1.8012129784679973
thrower__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_002,a47338b42245b2e1d801c79ef9779ad89c321a626bb0fe5a50750b956257e969,Thrower-v0,biped,static,2,10,1.7588777336965855,1.7588777336965853,2.220446049250313e-16,1.7588777336965853,1.7588777336965853
thrower__biped__static__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_003,45677c35932cdd2f142a7dba736086917b039cb20516c56187b57f0dc14b3180,Thrower-v0,biped,static,3,10,2.2476424970932216,2.247642497093222,4.440892098500626e-16,2.247642497093222,2.247642497093222
thrower__biped__static__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_004,639520971878746dc252ea35664e6a0e7f0d74355ec633115e9aa9b0fbc1dc67,Thrower-v0,biped,static,4,10,1.8007990089413,1.8007990089413,0.0,1.8007990089413,1.8007990089413
thrower__biped__static__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_005,8ca533c2b9dd90ef51b17faeee0d5fbd8affdc2df88496bdf301779da7d120be,Thrower-v0,biped,static,5,10,1.8039074554381789,1.8039074554381789,0.0,1.8039074554381789,1.8039074554381789
