run_id,source_run,config_digest,genome_sha256,training_seed,analysis_index,environment_seed,controller_seed,task,morphology,controller,hidden_sizes,episode_length,trace_path
walker__biped__nchl__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_004,de1d133581515e158a317db31d0047534d22c144c35c8a91816750a519a78390,176e555b9e6dd75db19973400b373b1815e6d847a929dda8224c2f804bdec8df,4,1,1776748932738538903,3330744174114140836,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train004_analysis01.npz
walker__biped__nchl__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_004,de1d133581515e158a317db31d0047534d22c144c35c8a91816750a519a78390,176e555b9e6dd75db19973400b373b1815e6d847a929dda8224c2f804bdec8df,4,2,1844154726293175647,4425154243183907800,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train004_analysis02.npz
walker__biped__nchl__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_005,2e4757f4c378c86feb7fc7fd527fb70abfece956b54f623c7dca5a69b22a2844,8a67eccc47600ee29c5e23846a953ae63da22dd458d6e605118cf5834c3e6b06,5,0,6537336262564968459,5568806234066008283,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train005_analysis00.npz
walker__biped__nchl__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_005,2e4757f4c378c86feb7fc7fd527fb70abfece956b54f623c7dca5a69b22a2844,8a67eccc47600ee29c5e23846a953ae63da22dd458d6e605118cf5834c3e6b06,5,1,7847246716821455116,5175985587420486963,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train005_analysis01.npz
walker__biped__nchl__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_005,2e4757f4c378c86feb7fc7fd527fb70abfece956b54f623c7dca5a69b22a2844,8a67eccc47600ee29c5e23846a953ae63da22dd458d6e605118cf5834c3e6b06,5,2,8874890859321386193,4629262467755900572,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train005_analysis02.npz
walker__biped__nchl__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_006,fe312947a36da98a70b77eb9fd91f62a26e020d408da588a23b7f09829ae207f,6797b0c354c9039088787823e4806722c75e0f265fb729ab1fa34ec52af2c5ba,6,0,4697810511805331226,1837341966890607914,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train006_analysis00.npz
walker__biped__nchl__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_006,fe312947a36da98a70b77eb9fd91f62a26e020d408da588a23b7f09829ae207f,6797b0c354c9039088787823e4806722c75e0f265fb729ab1fa34ec52af2c5ba,6,1,212357942801270703,7001556810303355477,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train006_analysis01.npz
walker__biped__nchl__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_006,fe312947a36da98a70b77eb9fd91f62a26e020d408da588a23b7f09829ae207f,6797b0c354c9039088787823e4806722c75e0f265fb729ab1fa34ec52af2c5ba,6,2,9197516287707139064,7789448062882196537,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train006_analysis02.npz
walker__biped__nchl__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_007,187d9917a60541b0544ad0eeb63e2c1cb930aa9b282d4de77adc5b90ded411d1,4b0c69aa068e0cf25eb659923649590b49505991967bc54d5e7b2464a255caf5,7,0,7273538705011962834,3327181185902024434,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train007_analysis00.npz
walker__biped__nchl__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_007,187d9917a60541b0544ad0eeb63e2c1cb930aa9b282d4de77adc5b90ded411d1,4b0c69aa068e0cf25eb659923649590b49505991967bc54d5e7b2464a255caf5,7,1,219581318861383269,6126904072154767176,Walker-v0,biped,nchl,"(40,)",500,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train007_analysis01.npz
