run_id,task,morphology,training_seed,W0_mean_fitness,W25_mean_fitness,W50_mean_fitness,W75_mean_fitness,Wfinal_mean_fitness,delta_W25_from_W0,delta_W50_from_W0,delta_W75_from_W0,delta_Wfinal_from_W0,best_snapshot,best_snapshot_fitness
jumper__biped__nchl__seed_000,Jumper-v0,biped,0,-0.1612969677108859,0.03142929055488741,-0.01352070857968124,-0.020659212137548916,-0.5143883508223054,0.1927262582657733,0.14777625913120465,0.14063775557333696,-0.3530913831114195,W25,0.03142929055488741
jumper__biped__nchl__seed_001,Jumper-v0,biped,1,-0.17788079004832166,-2.3693163055867985,-2.52020028044534,-2.982740648000094,-2.6831803946887725,-2.191435515538477,-2.3423194903970184,-2.8048598579517727,-2.505299604640451,W0,-0.17788079004832166
jumper__biped__nchl__seed_002,Jumper-v0,biped,2,-0.17207994741151533,-0.9497539263290871,-1.9493635441607609,-2.6011290187144205,-2.9046334678798047,-0.7776739789175717,-1.7772835967492455,-2.429049071302905,-2.732553520468289,W0,-0.17207994741151533
jumper__biped__nchl__seed_003,Jumper-v0,biped,3,-0.1620642174790702,-3.3972082372675847,-1.4460009488507246,-1.5121357938266293,-1.5349225408410752,-3.2351440197885144,-1.2839367313716543,-1.350071576347559,-1.3728583233620049,W0,-0.1620642174790702
jumper__biped__nchl__seed_004,Jumper-v0,biped,4,-0.18339695232692152,0.07995367707961165,0.07503156490344887,-0.2869040216548491,-0.3537026425322951,0.2633506294065332,0.2584285172303704,-0.10350706932792755,-0.1703056902053736,W25,0.07995367707961165
jumper__biped__nchl__seed_005,Jumper-v0,biped,5,-0.16306598841595132,-3.1441912168722332,-4.7467431804986004,-3.9886822348256654,-0.2630812594186834,-2.981125228456282,-4.583677192082649,-3.825616246409714,-0.10001527100273205,W0,-0.16306598841595132
jumper__biped__nchl__seed_006,Jumper-v0,biped,6,-0.16123965912519486,-0.8053531841993345,-2.2833932523412726,-1.5921316235510157,-1.5835013961872946,-0.6441135250741397,-2.1221535932160775,-1.430891964425821,-1.4222617370620998,W0,-0.16123965912519486
jumper__biped__nchl__seed_007,Jumper-v0,biped,7,-0.16850244063879527,0.10583649486003488,-3.7253645718557884,-3.8072333425069567,-2.5925227035699785,0.27433893549883015,-3.556862131216993,-3.6387309018681613,-2.424020262931183,W25,0.10583649486003488
jumper__biped__nchl__seed_008,Jumper-v0,biped,8,-0.172808085726609,-0.734827586951643,-0.7997894083015753,-0.8141166485468846,-1.0073858963337654,-0.562019501225034,-0.6269813225749663,-0.6413085628202756,-0.8345778106071564,W0,-0.172808085726609
jumper__biped__nchl__seed_009,Jumper-v0,biped,9,-0.15745772707433936,-10.148412049968163,-11.710623162117537,-9.44154918090349,-7.494017445369653,-9.990954322893824,-11.553165435043198,-9.28409145382915,-7.336559718295313,W0,-0.15745772707433936
thrower__biped__nchl__seed_000,Thrower-v0,biped,0,0.31905957832444654,0.28813908128527754,0.4138156030293538,0.5590816182452732,0.3852178484127277,-0.030920497039168993,0.09475602470490724,0.2400220399208267,0.06615827008828118,W75,0.5590816182452732
thrower__biped__nchl__seed_001,Thrower-v0,biped,1,0.2789537161647572,0.4070294432596939,0.4442311161971215,0.44587215091636717,0.4482268475231896,0.1280757270949367,0.1652774000323643,0.16691843475160995,0.16927313135843236,Wfinal,0.4482268475231896
thrower__biped__nchl__seed_002,Thrower-v0,biped,2,0.3504450974917859,0.35631339333246936,0.4568815678961106,0.3803732248641111,0.2830478764767356,0.005868295840683491,0.10643647040432475,0.029928127372325253,-0.06739722101505025,W50,0.4568815678961106
thrower__biped__nchl__seed_003,Thrower-v0,biped,3,0.4011581279856164,0.33817009093163425,0.41914258243379154,0.863101150581918,0.8924231259684047,-0.06298803705398215,0.017984454448175147,0.46194302259630166,0.4912649979827883,Wfinal,0.8924231259684047
