run_id,source_run,config_digest,genome_sha256,training_seed,analysis_index,environment_seed,controller_seed,task,morphology,controller,hidden_sizes,episode_length,snapshot,state,mean,std,mean_abs,rms,min,max,mean_update_rms,mean_update_mean_abs
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,1,3184075494390970209,9147161066225580108,Walker-v0,biped,static,"(40,)",500,W0,0,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,1,3184075494390970209,9147161066225580108,Walker-v0,biped,static,"(40,)",500,W25,125,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,1,3184075494390970209,9147161066225580108,Walker-v0,biped,static,"(40,)",500,W50,250,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,1,3184075494390970209,9147161066225580108,Walker-v0,biped,static,"(40,)",500,W75,375,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,1,3184075494390970209,9147161066225580108,Walker-v0,biped,static,"(40,)",500,Wfinal,500,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,2,6337936886056088,9019669384804417704,Walker-v0,biped,static,"(40,)",500,W0,0,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,2,6337936886056088,9019669384804417704,Walker-v0,biped,static,"(40,)",500,W25,125,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,2,6337936886056088,9019669384804417704,Walker-v0,biped,static,"(40,)",500,W50,250,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,2,6337936886056088,9019669384804417704,Walker-v0,biped,static,"(40,)",500,W75,375,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_001,e6f4f280f48cfda40218c2bbb25f53daa0a089f5a957e8792c620ed131a1fa47,929f96e91f0f0489a0b1b6ca9a414f4c8e5c7c617249a363efff628ecfa5d50c,1,2,6337936886056088,9019669384804417704,Walker-v0,biped,static,"(40,)",500,Wfinal,500,-0.03545822955432717,1.1983016383632161,0.9636423031589705,1.1988261352452636,-3.893202304840088,3.428394317626953,0.0,0.0
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,0,4709125304908105630,1244304497912131803,Walker-v0,biped,static,"(40,)",500,W0,0,-0.015216999433865416,1.3579388435929338,1.0860670508441481,1.3580241014099435,-5.7192463874816895,3.959362030029297,0.0,0.0
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,0,4709125304908105630,1244304497912131803,Walker-v0,biped,static,"(40,)",500,W25,125,-0.015216999433865416,1.3579388435929338,1.0860670508441481,1.3580241014099435,-5.7192463874816895,3.959362030029297,0.0,0.0
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,0,4709125304908105630,1244304497912131803,Walker-v0,biped,static,"(40,)",500,W50,250,-0.015216999433865416,1.3579388435929338,1.0860670508441481,1.3580241014099435,-5.7192463874816895,3.959362030029297,0.0,0.0
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,0,4709125304908105630,1244304497912131803,Walker-v0,biped,static,"(40,)",500,W75,375,-0.015216999433865416,1.3579388435929338,1.0860670508441481,1.3580241014099435,-5.7192463874816895,3.959362030029297,0.0,0.0
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,0,4709125304908105630,1244304497912131803,Walker-v0,biped,static,"(40,)",500,Wfinal,500,-0.015216999433865416,1.3579388435929338,1.0860670508441481,1.3580241014099435,-5.7192463874816895,3.959362030029297,0.0,0.0
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,1,6789895730674132307,2935584579999248951,Walker-v0,biped,static,"(40,)",500,W0,0,-0.015216999433865416,1.3579388435929338,1.0860670508441481,1.3580241014099435,-5.7192463874816895,3.959362030029297,0.0,0.0
walker__biped__static__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/static/seed_002,05e39abb232867bbb7dc6d67dcf3fa3ccc496c3fb2a26b1b986eeffbb24c4718,e84292c78f24229f1ff330f7248727fbdc01048e1e3fc37c4aab9ad91a5a22ac,2,1,6789895730674132307,2935584579999248951,Walker-v0,biped,static,"(40,)",500,W25,125,-0.015216999433865416,1.3579388435929338,1.0860670508441481,1.3580241014099435,-5.7192463874816895,3.959362030029297,0.0,0.0
